ï»¿id,income,health_cover,house,wc,phone,car,consumption
1004116,5,0,1,0,1,1,0
1004125,6,1,0,1,1,0,0
1004133,4,1,1,1,1,1,0
1004140,4,1,1,0,1,1,0
1004157,5,1,1,0,1,0,0
1004169,4,1,0,0,1,0,0
1004178,4,1,0,0,1,1,0
1004184,3,1,1,1,1,1,0
1004191,4,1,1,0,1,0,0
1004207,5,0,1,1,1,1,0
1004218,5,1,1,1,1,1,0
1004229,3,0,1,0,0,0,0
1004234,3,1,0,0,1,0,0
1004241,4,1,0,0,1,0,0
1004252,5,1,0,0,1,1,0
1004265,4,1,0,0,1,1,0
1004276,6,1,0,0,1,1,0
1004283,1,1,0,0,0,0,0
1004290,4,1,0,1,1,0,0
1004309,3,1,0,0,1,1,0
1004311,6,1,0,1,1,0,1
1004327,4,0,0,1,1,0,0
1004330,5,0,0,1,1,1,0
1004348,1,1,0,0,1,1,0
1004353,4,1,1,1,1,1,0
1004366,4,1,0,0,1,1,0
1004375,4,0,1,1,1,1,0
1004382,4,1,0,0,1,0,1
1004394,6,1,1,1,1,1,0
1004401,1,1,0,0,0,0,0
1004412,3,1,1,0,1,0,0
1004420,4,1,0,0,1,0,0
1004435,5,1,0,1,1,1,0
1004447,6,0,1,0,1,1,0
1004458,4,0,0,1,1,0,0
1004464,5,1,0,1,1,0,0
1004473,4,0,1,0,1,1,0
1004486,6,1,1,1,1,1,1
1004499,6,1,1,1,1,1,0
1004506,4,0,0,1,1,0,0
1004514,2,1,0,0,1,0,0
1004523,6,1,0,1,1,1,0
1004538,6,1,1,1,1,1,0
1004545,5,1,1,0,1,1,0
1004550,1,1,1,0,0,0,0
1004561,6,1,1,1,1,1,0
1004577,6,1,1,1,1,1,1
1004589,2,0,0,0,1,0,0
1004592,5,1,1,1,1,1,0
1004605,6,1,1,1,1,0,1
1004610,5,1,1,1,1,1,0
1004622,6,1,1,1,1,1,0
1004631,6,1,0,1,1,1,0
1004646,6,1,1,1,1,0,0
1004654,4,1,1,1,1,1,0
1004668,5,1,1,1,1,1,0
1004679,3,1,0,0,1,0,0
1004687,6,1,1,1,1,1,0
1004693,3,1,0,0,1,1,0
1004700,3,1,0,0,1,0,0
1004717,3,0,0,0,0,1,0
1004721,4,0,0,0,1,0,0
1004739,3,1,0,0,1,1,0
1004742,5,1,1,1,1,1,1
1004756,5,0,1,1,1,1,0
1004763,6,1,0,1,1,1,1
1004774,4,1,0,0,1,1,0
1004788,6,1,1,1,1,1,0
1004795,4,0,1,1,1,1,0
1004808,6,1,1,1,1,1,0
1004813,5,0,1,0,1,1,0
1004824,3,1,0,0,1,0,1
1004836,4,0,0,0,1,0,0
1004849,5,1,1,1,1,1,1
1004851,4,1,1,1,1,1,0
1004860,3,0,0,0,1,1,0
1004872,4,1,0,0,1,1,0
1004885,6,1,0,0,1,1,1
